Numero de documentos (preguntas) del corpus : 841
Numero de palabras del corpus: 7449
Palabra: 0 Frec: 1 LogProb: -11.339500218398273
Palabra: 00 Frec: 0 LogProb: -12.032647398958218
Palabra: 000 Frec: 0 LogProb: -12.032647398958218
Palabra: 0000 Frec: 0 LogProb: -12.032647398958218
Palabra: 00237 Frec: 0 LogProb: -12.032647398958218
Palabra: 004 Frec: 0 LogProb: -12.032647398958218
Palabra: 00600 Frec: 0 LogProb: -12.032647398958218
Palabra: 009 Frec: 0 LogProb: -12.032647398958218
Palabra: 00936 Frec: 0 LogProb: -12.032647398958218
Palabra: 01 Frec: 0 LogProb: -12.032647398958218
Palabra: 01031 Frec: 0 LogProb: -12.032647398958218
Palabra: 01654 Frec: 0 LogProb: -12.032647398958218
Palabra: 01722 Frec: 0 LogProb: -12.032647398958218
Palabra: 01775 Frec: 0 LogProb: -12.032647398958218
Palabra: 01830 Frec: 0 LogProb: -12.032647398958218
Palabra: 02 Frec: 0 LogProb: -12.032647398958218
Palabra: 02287e Frec: 0 LogProb: -12.032647398958218
Palabra: 03 Frec: 0 LogProb: -12.032647398958218
Palabra: 04 Frec: 0 LogProb: -12.032647398958218
Palabra: 047 Frec: 0 LogProb: -12.032647398958218
Palabra: 05 Frec: 0 LogProb: -12.032647398958218
Palabra: 07 Frec: 0 LogProb: -12.032647398958218
Palabra: 08 Frec: 0 LogProb: -12.032647398958218
Palabra: 08177 Frec: 0 LogProb: -12.032647398958218
Palabra: 09 Frec: 0 LogProb: -12.032647398958218
Palabra: 0M4 Frec: 0 LogProb: -12.032647398958218
Palabra: 0b Frec: 0 LogProb: -12.032647398958218
Palabra: 0kb Frec: 0 LogProb: -12.032647398958218
Palabra: 0s Frec: 0 LogProb: -12.032647398958218
Palabra: 0x123456789 Frec: 0 LogProb: -12.032647398958218
Palabra: 0x18a15e0 Frec: 0 LogProb: -12.032647398958218
Palabra: 0x80000022 Frec: 0 LogProb: -12.032647398958218
Palabra: 0x80004005 Frec: 0 LogProb: -12.032647398958218
Palabra: 0x8004D024 Frec: 0 LogProb: -12.032647398958218
Palabra: 0x800A03EC Frec: 0 LogProb: -12.032647398958218
Palabra: 0x800a03ec Frec: 0 LogProb: -12.032647398958218
Palabra: 1 Frec: 28 LogProb: -8.665351568971744
Palabra: 10 Frec: 1 LogProb: -11.339500218398273
Palabra: 100 Frec: 0 LogProb: -12.032647398958218
Palabra: 1000 Frec: 0 LogProb: -12.032647398958218
Palabra: 1004 Frec: 0 LogProb: -12.032647398958218
Palabra: 1022868890 Frec: 0 LogProb: -12.032647398958218
Palabra: 1024HLS Frec: 0 LogProb: -12.032647398958218
